text,type,beginOffset,endOffset
americans,OTHER,39,48
juneteenth,EVENT,111,121
african americans,OTHER,162,179
juneteenth,EVENT,194,204
texas,LOCATION,233,238
William H Wiggins Jr,PERSON,431,451
african american,OTHER,491,507
american,OTHER,570,578
indiana University,ORGANIZATION,590,608
juneteenth,EVENT,686,696
juneteenth,EVENT,698,708
18 65 june 19,DATE,735,748
Gordon Granger,PERSON,762,776
Galveston,LOCATION,804,813
texas,LOCATION,814,819
texas,LOCATION,853,858
texas,LOCATION,1040,1045
texas,LOCATION,1055,1060
texas,LOCATION,1067,1072
Louisiana,LOCATION,1082,1091
Arkansas,LOCATION,1103,1111
Oklahoma,LOCATION,1125,1133
tom Bradley's,PERSON,1241,1254
johnny Mathis's,PERSON,1263,1278
California,LOCATION,1301,1311
Oakland,LOCATION,1350,1357
Los Angeles,LOCATION,1359,1370
Richmond,LOCATION,1372,1380
California,LOCATION,1381,1391
texas,LOCATION,1465,1470
January one,DATE,1665,1676
emancipation proclamation,TITLE,1706,1731
1863,DATE,1733,1737
February one,DATE,1924,1936
Philadelphia,LOCATION,1961,1973
National Freedom Day,EVENT,1974,1994
Truman,PERSON,2048,2054
13th amendment,TITLE,2115,2129
martin Luther king Jr national holiday,EVENT,2276,2314
juneteenth,EVENT,2375,2385
american,OTHER,2571,2579
july 4th,DATE,2588,2596
emancipation proclamation,TITLE,2923,2948
emancipation proclamation,TITLE,3069,3094
emancipation proclamation,TITLE,3467,3492
18 63 january one,DATE,3522,3539
Gordon Granger,PERSON,3588,3602
texas,LOCATION,3623,3628
texas,LOCATION,3880,3885
texas,LOCATION,3986,3991
Dominion,LOCATION,4110,4118
Virginia,LOCATION,4139,4147
Carolinas,LOCATION,4153,4162
Georgia,LOCATION,4163,4170
texas,LOCATION,4190,4195
emancipation proclamation,TITLE,4449,4474
king,PERSON,4721,4725
american,OTHER,4741,4749
american,OTHER,4780,4788
World War,EVENT,4964,4973
World War Two,EVENT,4995,5008
double V campaign,EVENT,5045,5062
America,LOCATION,5111,5118
american,OTHER,5128,5136
july 4th,DATE,5158,5166
american,OTHER,5171,5179
african american,OTHER,5254,5270
african american,OTHER,5271,5287
african american,OTHER,5421,5437
american,OTHER,5471,5479
Wiggins,PERSON,5519,5526
Nightwatch,TITLE,5543,5553
