start,end,transition_type
00:00:00,00:00:20,dissolve
00:00:20,00:00:25,dissolve
00:00:25,00:00:58,dissolve
00:00:58,00:01:47,dissolve
00:01:47,00:02:05,dissolve
00:02:05,00:02:08,dissolve
00:02:08,00:02:25,dissolve
00:02:25,00:03:08,dissolve
00:03:08,00:03:27,dissolve
00:03:29,00:03:45,dissolve
00:03:45,00:04:03,dissolve
00:04:03,00:04:06,dissolve
00:04:06,00:04:23,dissolve
00:04:23,00:04:38,dissolve
00:04:38,00:04:55,dissolve
00:04:55,00:05:12,dissolve
00:05:12,00:05:29,dissolve
00:05:29,00:04:46,dissolve
00:04:46,00:04:54,dissolve
00:04:54,00:05:12,dissolve
00:05:12,00:05:29,dissolve
00:05:29,00:05:46,dissolve
00:05:46,00:05:50,dissolve
00:05:50,00:06:05,dissolve
00:06:05,00:06:22,dissolve
00:06:22,00:06:40,dissolve
00:06:40,00:06:56,dissolve
00:06:56,00:07:13,dissolve
00:07:13,00:07:30,dissolve
00:07:30,00:07:34,dissolve
00:07:34,00:07:45,dissolve
00:07:45,00:08:00,dissolve
00:08:00,00:08:33,dissolve
00:08:33,00:08:40,dissolve
00:08:40,00:08:57,dissolve
